Address:,USB0::0x0957::0x179B::MY54313425::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,0.0353125,0.172442198352655,-0.00878391895093955,
,,,0.035625,0.165969837020384,-0.00924623047467321,
,,,0.0359375,0.159035164164379,-0.00785929590347223,
,,,0.03625,0.153025114355842,-0.00832160742720589,
,,,0.0365625,0.145628129976103,-0.00693467285600491,
,,,0.036875,0.140080391691299,-0.00693467285600491,
,,,0.0371875,0.133608030359028,-0.00601004980853759,
,,,0.0375,0.127135669026757,-0.00693467285600491,
,,,0.0378125,0.120663307694485,-0.00739698437973857,
,,,0.038125,0.115577880933415,-0.00693467285600491,
,,,0.0384375,0.109567831124878,-0.00554773828480393,
,,,0.03875,0.103095469792606,-0.00508542676107027,
,,,0.0390625,0.0966231084603351,-0.00508542676107027,
,,,0.039375,0.0910753701755311,-0.00462311523733661,
,,,0.0396875,0.0855276318907272,-0.00369849218986928,
,,,0.04,0.0804422051296569,-0.00462311523733661,
,,,0.0403125,0.0753567783685867,-0.00508542676107027,
,,,0.040625,0.0702713516075164,-0.00416080371360295,
,,,0.0409375,0.0651859248464461,-0.00462311523733661,
,,,0.04125,0.0605628096091095,-0.00508542676107027,
,,,0.0415625,0.0545527598005719,-0.00416080371360295,
,,,0.041875,0.0494673330395017,-0.00369849218986928,
,,,0.0421875,0.0443819062784314,-0.00369849218986928,
,,,0.0425,0.0392964795173611,-0.00277386914240196,
,,,0.0428125,0.0337487412325572,-0.00138693457120098,
,,,0.043125,0.028663314471487,-0.00138693457120098,
,,,0.0434375,0.023115576186683,-0.00184924609493464,
,,,0.04375,0.0180301494256128,-0.00277386914240196,
,,,0.0440625,0.0124824111408088,-0.00277386914240196,
,,,0.044375,0.00693467285600491,-0.0023115576186683,
,,,0.0446875,0.00138693457120098,-0.00277386914240196,
,,,0.045,-0.00416080371360295,-0.00323618066613562,
,,,0.0453125,-0.00924623047467321,-0.00508542676107027,
,,,0.045625,-0.0147939687594771,-0.00601004980853759,
,,,0.0459375,-0.0198793955205474,-0.00693467285600491,
,,,0.04625,-0.025889445329085,-0.00508542676107027,
,,,0.0465625,-0.0318994951376226,-0.00601004980853759,
,,,0.046875,-0.0379095449461602,-0.00601004980853759,
,,,0.0471875,-0.0439195947546978,-0.00601004980853759,
,,,0.0475,-0.050391956086969,-0.00601004980853759,
,,,0.0478125,-0.0564020058955066,-0.00693467285600491,
,,,0.048125,-0.0624120557040442,-0.00739698437973857,
,,,0.0484375,-0.0688844170363154,-0.00878391895093955,
,,,0.04875,-0.076281401416054,-0.00785929590347223,
,,,0.0490625,-0.0827537627483252,-0.00832160742720589,
,,,0.049375,-0.0901507471280638,-0.00832160742720589,
,,,0.0496875,-0.0970854199840687,-0.00832160742720589,
,,,0.05,-0.104482404363807,-0.00878391895093955,
,,,0.0503125,-0.111879388743546,-0.00878391895093955,
,,,0.050625,-0.119738684647018,-0.00878391895093955,
,,,0.0509375,-0.12759798055049,-0.00878391895093955,
,,,0.05125,-0.135457276453963,-0.00924623047467321,
,,,0.0515625,-0.143778883881168,-0.00924623047467321,
,,,0.051875,-0.153025114355842,-0.00878391895093955,
,,,0.0521875,-0.161809033306781,-0.00970854199840687,
,,,0.0525,-0.170130640733987,-0.00924623047467321,
,,,0.0528125,-0.179839182732394,-0.0124824111408088,
,,,0.053125,-0.189547724730801,-0.0115577880933415,
,,,0.0534375,-0.199718578252941,-0.0120200996170752,
,,,0.05375,-0.209427120251348,-0.0120200996170752,
,,,0.0540625,-0.219597973773489,-0.0120200996170752,
,,,0.054375,-0.229768827295629,-0.0106331650458742,
,,,0.0546875,-0.23993968081777,-0.0106331650458742,
,,,0.055,-0.25011053433991,-0.0101708535221405,
,,,0.0553125,-0.260743699385785,-0.00970854199840687,
,,,0.055625,-0.270914552907925,-0.0101708535221405,
