Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.01520833349,0.554271286644507,-0.0501884282566607,
,,,-0.0151562501575,0.554773799143732,-0.0553140563424677,
,,,-0.015104166825,0.554271286644507,-0.0433542574755847,
,,,-0.0150520834925,0.554271286644507,-0.0442085288232192,
,,,-0.01500000016,0.553768774145283,-0.0433542574755847,
,,,-0.0149479168275,0.553266261646058,-0.0638567698188126,
,,,-0.014895833495,0.55226123664761,-0.0433542574755847,
,,,-0.0148437501625,0.551758724148385,-0.0407914434326813,
,,,-0.01479166683,0.550251186650712,-0.0288316445657983,
,,,-0.0147395834975,0.549246161652263,-0.0356658153468743,
,,,-0.014687500165,0.548241136653814,-0.0194346597418189,
,,,-0.0146354168325,0.546733599156141,-0.0254145591752604,
,,,-0.0145833335,0.544723549159244,-0.0296859159134328,
,,,-0.0145312501675,0.543718524160795,-0.0254145591752604,
,,,-0.014479166835,0.542210986663122,-0.0271231018705294,
,,,-0.0144270835025,0.540703449165449,-0.0245602878276259,
,,,-0.01437500017,0.539195911667775,-0.0254145591752604,
,,,-0.0143229168375,0.537185861670878,-0.0296859159134328,
,,,-0.014270833505,0.535678324173205,-0.0117462176131085,
,,,-0.0142187501725,0.534170786675531,-0.0211432024370879,
,,,-0.01416666684,0.532160736678634,-0.0143090316560119,
,,,-0.0141145835075,0.530653199180961,-0.00662058952730149,
,,,-0.014062500175,0.529145661683287,-0.0177261170465499,
,,,-0.0140104168425,0.527638124185614,-0.0219974737847224,
,,,-0.01395833351,0.525628074188717,-0.0254145591752604,
,,,-0.0139062501775,0.523618024191819,-0.0237060164799914,
,,,-0.013854166845,0.521607974194922,-0.0117462176131085,
,,,-0.0138020835125,0.520100436697248,-0.00662058952730149,
,,,-0.01375000018,0.517587874201126,-0.0151633030036464,
,,,-0.0136979168475,0.515577824204229,-0.00832913222257048,
,,,-0.013645833515,0.514070286706556,-0.00662058952730149,
,,,-0.0135937501825,0.512060236709658,-0.00149496144149452,
,,,-0.01354166685,0.509547674213536,-0.00747486087493598,
,,,-0.0134895835175,0.508040136715863,-0.0100376749178395,
,,,-0.013437500185,0.506030086718965,-0.00747486087493598,
,,,-0.0133854168525,0.503517524222843,-0.012600488960743,
,,,-0.01333333352,0.501004961726721,-0.00234923278912902,
,,,-0.0132812501875,0.498994911729824,0.00277639529667795,
,,,-0.013229166855,0.496984861732926,-0.00662058952730149,
,,,-0.0131770835225,0.494472299236804,-0.00064069009386003,
,,,-0.01312500019,0.492462249239907,0.00192212394904345,
,,,-0.0130729168575,0.489949686743785,-0.00234923278912902,
,,,-0.013020833525,0.486934611748438,-0.00064069009386003,
,,,-0.0129687501925,0.483919536753092,-0.00149496144149452,
,,,-0.01291666686,0.480904461757746,0.0121733801206574,
,,,-0.0128645835275,0.477386874263175,0.0121733801206574,
,,,-0.012812500195,0.473869286768604,0.00875629473011941,
,,,-0.0127604168625,0.46884416177636,0.00875629473011941,
,,,-0.01270833353,0.463819036784116,0.0121733801206574,
,,,-0.0126562501975,0.458793911791872,0.00790202338248491,
,,,-0.012604166865,0.453266274300404,0.00192212394904345,
,,,-0.0125520835325,0.447236124309711,0.0437814199831337,
,,,-0.0125000002,0.441205974319018,0.0395100632449612,
