Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0269168,0.110954793170094,-0.080684682354331,
,,,-0.026816,0.0948743931949139,-0.100785184651613,
,,,-0.0267152,0.0787939932197332,-0.120885686948895,
,,,-0.0266144,0.0787939932197332,-0.100785184651613,
,,,-0.0265136,0.0707537932321429,-0.080684682354331,
,,,-0.0264128,0.0627135932445526,-0.0404836777597666,
,,,-0.026312,0.0385929932817817,-0.080684682354331,
,,,-0.0262112,0.0385929932817817,-0.0203831754624844,
,,,-0.0261104,0.022512593306601,-0.0404836777597666,
,,,-0.0260096,0.022512593306601,0.0198178291320801,
,,,-0.0259088,0.00643219333142042,-0.16108669154346,
,,,-0.025808,0.00643219333142042,-0.221388198435307,
,,,-0.0257072,-0.0096482066437602,0.0801193360239267,
,,,-0.0256064,-0.0176884066313505,-0.0404836777597666,
,,,-0.0255056,-0.0257286066189408,-0.0605841800570488,
,,,-0.0254048,-0.0337688066065311,-0.080684682354331,
,,,-0.025304,-0.0337688066065311,-0.0605841800570488,
,,,-0.0252032,-0.0418090065941215,-0.0404836777597666,
,,,-0.0251024,-0.0498492065817118,0.0198178291320801,
,,,-0.0250016,-0.0498492065817118,-0.0404836777597666,
,,,-0.0249008,-0.0498492065817118,-0.000282673165202141,
,,,-0.0248,-0.0498492065817118,-0.0605841800570488,
,,,-0.0246992,-0.0578894065693021,-0.0203831754624844,
,,,-0.0245984,-0.0578894065693021,0.0600188337266445,
,,,-0.0244976,-0.0659296065568924,-0.080684682354331,
,,,-0.0243968,-0.0659296065568924,0.160521345213056,
,,,-0.024296,-0.0578894065693021,-0.16108669154346,
,,,-0.0241952,-0.0578894065693021,0.0801193360239267,
,,,-0.0240944,-0.0659296065568924,0.0198178291320801,
,,,-0.0239936,-0.0578894065693021,-0.000282673165202141,
,,,-0.0238928,-0.0578894065693021,-0.0203831754624844,
,,,-0.023792,-0.0498492065817118,-0.0203831754624844,
,,,-0.0236912,-0.0578894065693021,-0.0203831754624844,
,,,-0.0235904,-0.0578894065693021,-0.0605841800570488,
,,,-0.0234896,-0.0498492065817118,-0.000282673165202141,
,,,-0.0233888,-0.0498492065817118,0.0198178291320801,
,,,-0.023288,-0.0418090065941215,-0.0404836777597666,
,,,-0.0231872,-0.0418090065941215,-0.0605841800570488,
,,,-0.0230864,-0.0498492065817118,-0.0203831754624844,
,,,-0.0229856,-0.0418090065941215,-0.0404836777597666,
,,,-0.0228848,-0.0337688066065311,0.100219838321209,
,,,-0.022784,-0.0257286066189408,-0.100785184651613,
,,,-0.0226832,-0.0337688066065311,-0.0404836777597666,
,,,-0.0225824,-0.0176884066313505,-0.000282673165202141,
,,,-0.0224816,-0.0176884066313505,-0.0203831754624844,
,,,-0.0223808,-0.0176884066313505,-0.0203831754624844,
,,,-0.02228,-0.0096482066437602,-0.0605841800570488,
,,,-0.0221792,-0.0096482066437602,-0.0404836777597666,
,,,-0.0220784,-0.00160800665616989,-0.0203831754624844,
,,,-0.0219776,0.0144723933190107,-0.0605841800570488,
,,,-0.0218768,0.022512593306601,-0.0203831754624844,
,,,-0.021776,0.0305527932941914,0.0198178291320801,
,,,-0.0216752,0.0385929932817817,-0.0404836777597666,
,,,-0.0215744,0.046633193269372,-0.0203831754624844,
,,,-0.0214736,0.0627135932445526,0.0198178291320801,
,,,-0.0213728,0.0707537932321429,-0.0404836777597666,
,,,-0.021272,0.0868341932073236,-0.0203831754624844,
,,,-0.0211712,0.102914593182504,-0.000282673165202141,
,,,-0.0210704,0.118994993157685,-0.0203831754624844,
,,,-0.0209696,0.127035193145275,-0.000282673165202141,
,,,-0.0208688,0.135075393132865,-0.000282673165202141,
,,,-0.020768,0.159195993095636,-0.0203831754624844,
,,,-0.0206672,0.167236193083227,-0.080684682354331,
,,,-0.0205664,0.183316593058407,-0.000282673165202141,
,,,-0.0204656,0.191356793045998,-0.080684682354331,
,,,-0.0203648,0.207437193021178,-0.0404836777597666,
,,,-0.020264,0.223517592996359,-0.0203831754624844,
,,,-0.0201632,0.239597992971539,-0.0203831754624844,
,,,-0.0200624,0.239597992971539,-0.0203831754624844,
,,,-0.0199616,0.25567839294672,-0.0203831754624844,
,,,-0.0198608,0.279798992909491,-0.0605841800570488,
,,,-0.01976,0.287839192897081,0.0399183314293623,
,,,-0.0196592,0.303919592872262,-0.140986189246178,
,,,-0.0195584,0.319999992847443,-0.000282673165202141,
,,,-0.0194576,0.328040192835033,0.281124358996749,
,,,-0.0193568,0.344120592810214,-0.080684682354331,
,,,-0.019256,0.352160792797804,0.100219838321209,
,,,-0.0191552,0.368241192772985,0.582631893455982,
,,,-0.0190544,0.376281392760575,1.02484294399619,
,,,-0.0189536,0.400401992723346,0.582631893455982,
,,,-0.0188528,0.408442192710936,0.0801193360239267,
,,,-0.018752,0.424522592686117,-0.100785184651613,
,,,-0.0186512,0.440602992661297,-0.181187193840742,
,,,-0.0185504,0.456683392636478,-0.201287696138024,
,,,-0.0184496,0.472763792611659,-0.201287696138024,
,,,-0.0183488,0.480803992599249,-0.181187193840742,
,,,-0.018248,0.49688439257443,-0.221388198435307,
,,,-0.0181472,0.50492459256202,-0.181187193840742,
,,,-0.0180464,0.5210049925372,-0.281689705327153,
,,,-0.0179456,0.537085392512381,-0.0203831754624844,
,,,-0.0178448,0.545125592499971,-0.0605841800570488,
,,,-0.017744,0.553165792487562,-0.0605841800570488,
,,,-0.0176432,0.577286392450333,-0.080684682354331,
