Description	
Number of Runs	780
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1020
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
250	1020	4	1	05/11/23 03:15:14 PM	
251	1020	3	1	05/11/23 03:15:15 PM	
252	1020	13	1	05/11/23 03:15:16 PM	
253	1020	5	1	05/11/23 03:15:17 PM	
254	1020	7	1	05/11/23 03:15:18 PM	
255	1020	4	1	05/11/23 03:15:20 PM	
256	1020	6	1	05/11/23 03:15:21 PM	
257	1020	6	1	05/11/23 03:15:22 PM	
258	1020	8	1	05/11/23 03:15:23 PM	
259	1020	11	1	05/11/23 03:15:24 PM	
260	1020	8	1	05/11/23 03:15:25 PM	
261	1020	6	1	05/11/23 03:15:26 PM	
262	1020	8	1	05/11/23 03:15:28 PM	
263	1020	5	1	05/11/23 03:15:29 PM	
264	1020	7	1	05/11/23 03:15:30 PM	
265	1020	2	1	05/11/23 03:15:31 PM	
266	1020	8	1	05/11/23 03:15:32 PM	
267	1020	2	1	05/11/23 03:15:33 PM	
268	1020	10	1	05/11/23 03:15:35 PM	
269	1020	5	1	05/11/23 03:15:36 PM	
270	1020	1	1	05/11/23 03:15:37 PM	
271	1020	1	1	05/11/23 03:15:38 PM	
272	1020	6	1	05/11/23 03:15:39 PM	
273	1020	6	1	05/11/23 03:15:40 PM	
274	1020	4	1	05/11/23 03:15:41 PM	
275	1020	7	1	05/11/23 03:15:43 PM	
276	1020	8	1	05/11/23 03:15:44 PM	
277	1020	3	1	05/11/23 03:15:45 PM	
278	1020	7	1	05/11/23 03:15:46 PM	
279	1020	15	1	05/11/23 03:15:47 PM	
280	1020	7	1	05/11/23 03:15:48 PM	
281	1020	13	1	05/11/23 03:15:49 PM	
282	1020	3	1	05/11/23 03:15:51 PM	
283	1020	6	1	05/11/23 03:15:52 PM	
284	1020	3	1	05/11/23 03:15:53 PM	
285	1020	3	1	05/11/23 03:15:54 PM	
286	1020	4	1	05/11/23 03:15:55 PM	
287	1020	10	1	05/11/23 03:15:56 PM	
288	1020	6	1	05/11/23 03:15:57 PM	
289	1020	10	1	05/11/23 03:15:59 PM	
